Edible?,Cap-shape,Cap-surface,Cap-color,Bruises?,Odor,Gill-attacment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-Type,Veil-Color,Ring-number,Ring-Type,Spore-print-color,Population,Habitat,Species
e,x,s,w,t,a,f,c,n,w,t,b,s,s,w,w,p,w,o,p,u,,d,Agaricus abruptibulbus
,f,f,,,l,,,,p,,,,,,,,,,,n,,,Agaricus abruptibulbus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus abruptibulbus
e,x,s,w,t,a,f,c,b,w,e,,s,s,w,w,p,w,o,f,k,n,m,Agaricus arvensis
,,y,,,l,,,,g,,,,,,,,,,p,n,s,g,Agaricus arvensis
,,,,,,,,,n,,,,,,,,,,,,,w,Agaricus arvensis
,,,,,,,,,k,,,,,,,,,,,,,,Agaricus arvensis
e,x,,y,t,a,f,c,b,w,e,,k,y,,,p,w,o,p,n,y,g,Agaricus augustus
,f,,n,,l,,,,p,,,,,,,,,,,,s,p,Agaricus augustus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus augustus
e,x,f,g,,,f,c,n,g,,,s,s,w,w,p,w,o,f,k,y,u,Agaricus bitorquis
,f,,n,,,,,,p,,,,,,,,,,p,n,v,,Agaricus bitorquis
,s,,,,,,,,n,,,,,,,,,,,,,,Agaricus bitorquis
p,x,s,w,,p,f,c,n,w,,,s,s,w,w,p,w,o,p,n,s,u,Agaricus californicus
,f,y,n,,,,,,p,,,,,,,,,,,,v,g,Agaricus californicus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus californicus
e,x,s,w,,,f,c,b,p,t,,s,s,w,w,p,w,o,e,k,s,g,Agaricus campestris
,f,f,g,,,,,,h,,,f,f,,,,,,,n,a,,Agaricus campestris
,,,n,,,,,,n,,,,,,,,,,,,,,Agaricus campestris
,,,,,,,,,k,,,,,,,,,,,,,,Agaricus campestris
e,x,f,g,t,,f,c,b,w,e,,,,w,w,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
,f,y,e,,,,,,p,,,,,p,p,,,,,,v,,Agaricus haemorrhoidarius
,,,n,,,,,,n,,,,,g,g,,,,,,s,,Agaricus haemorrhoidarius
,,,,,,,,,u,,,,,,,,,,,,,,Agaricus haemorrhoidarius
p,x,s,w,,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,Agaricus hondensis
,,f,p,,f,,w,,p,,,,,,,,,,f,,v,,Agaricus hondensis
,,,g,,,,,,u,,,,,,,,,,,,,,Agaricus hondensis
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus hondensis
p,x,f,g,t,f,f,c,b,g,,b,k,k,b,b,p,w,o,l,h,y,d,Agaricus meleagris
,f,y,n,,,,,,p,,,,,p,p,,,,,,v,g,Agaricus meleagris
,,,,,,,,,h,,,,,n,n,,,,,,s,p,Agaricus meleagris
e,x,y,w,,,f,c,n,w,e,,s,f,w,w,p,w,o,f,h,y,d,Agaricus subrutilescens
,f,,,,,,w,,p,,,,,,,,,,,,v,,Agaricus subrutilescens
,,,,,,,,,u,,,,,,,,,,,,n,,Agaricus subrutilescens
,,,,,,,,,h,,,,,,,,,,,,,,Agaricus subrutilescens
p,x,s,w,t,f,f,c,b,w,e,b,s,s,w,w,p,w,o,f,h,s,u,Agaricus xanthodermus
,f,,g,,,,,,p,,,f,f,,,,,,p,,v,p,Agaricus xanthodermus
,,,,,,,,,h,,,,,,,,,,,,,g,Agaricus xanthodermus
